year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
2010,100,8000,95,0,0,0,0,0,0,0,0
2011,100,8000,95,0,0,0,0,0,0,0,0
2012,100,8080,95,0,0,0,0,0,0,0,0
2013,100,8160,95,0,0,0,0,0,0,0,0
2014,100,8292.7,95.2,0,0,0,0,0,0,0,0
2015,100,8225.6625,95.5,0,0,0,0,0,0,0,0
2016,100,8158.8875,95.7,0,0,0,0,0,0,0,0
2017,100,8289.75,95.9,0,0,0,0,0,0,0,0
2018,100,8350.15,96.2,0,0,0,0,0,0,0,0
2019,100,8607.5,96.4,0,0,0,0,0,0,0,0
2020,100,8898.125,96.6,0,0,0,0,0,0,0,0
2021,100,8924.75,96.9,0,0,0,0,0,0,0,0
2022,100,8950.5,97.1,0,0,0,0,0,0,0,0
2023,100,8940.825,97.4,0,0,0,0,0,0,0,0
2024,100,8928,97.6,0,0,0,0,0,0,0,0
2025,100,8945.933333,97.8,0,0,0,0,0,0,0,0
2026,100,8962.933333,98.1,0,0,0,0,0,0,0,0
2027,100,8979,98.3,0,0,0,0,0,0,0,0
2028,100,9040.069444,98.5,0,0,0,0,0,0,0,0
2029,100,9100.361111,98.8,0,0,0,0,0,0,0,0
2030,100,9159.875,99,0,0,0,0,0,0,0,0
2031,100,9159.875,99,0,0,0,0,0,0,0,0
2032,100,9159.875,99,0,0,0,0,0,0,0,0
2033,100,9159.875,99,0,0,0,0,0,0,0,0
2034,100,9159.875,99,0,0,0,0,0,0,0,0
2035,100,9159.875,99,0,0,0,0,0,0,0,0
2036,100,9159.875,99,0,0,0,0,0,0,0,0
2037,100,9159.875,99,0,0,0,0,0,0,0,0
2038,100,9159.875,99,0,0,0,0,0,0,0,0
2039,100,9159.875,99,0,0,0,0,0,0,0,0
2040,100,9159.875,99,0,0,0,0,0,0,0,0
2041,100,9159.875,99,0,0,0,0,0,0,0,0
2042,100,9159.875,99,0,0,0,0,0,0,0,0
2043,100,9159.875,99,0,0,0,0,0,0,0,0
2044,100,9159.875,99,0,0,0,0,0,0,0,0
2045,100,9159.875,99,0,0,0,0,0,0,0,0
2046,100,9159.875,99,0,0,0,0,0,0,0,0
2047,100,9159.875,99,0,0,0,0,0,0,0,0
2048,100,9159.875,99,0,0,0,0,0,0,0,0
2049,100,9159.875,99,0,0,0,0,0,0,0,0
2050,100,9159.875,99,0,0,0,0,0,0,0,0
