Mine Production Million Ounces,Mexico,USA,Canada,Peru,Chile,Bolivia,Argentina,Dominican Republic,Brazil,Panama,Guatemala,Others,Poland,Sweden,Portugal,Spain,Finland,Others,Morocco,Eritrea,SouthAfrica,Botswana,Others,Russia,Kazakhstan,Uzbekistan,Armenia,Tajikistan,Others,China,India,Indonesia,Turkey,Iran,Philippines,Mongolia,Laos,Thailand,Others,Australia,PapuaNewGuinea,Others
2013,187.1,33.6,19.9,123,37.6,41.4,26.6,2.6,1,0.1,9.1,3.3,38.8,10.8,1.4,1.2,0.1,2.6,7.4,0.5,2.4,0.8,4.7,44.4,21.3,5.9,2.3,0.6,0.2,118.1,10.7,7.8,6.5,2.2,1.3,1.3,1.1,1.2,1.8,59.2,3,0.5
2014,185.4,37.9,15.2,126,50.2,43.1,29.6,4.4,1.1,0,27.6,3.4,38.4,12.7,1.5,1.1,0.1,2.5,7.8,1.7,1.8,0.8,3.3,46.1,18.1,5.9,2.4,1,0.2,119,8.4,7,6.4,2.3,0.7,1.7,1.3,1.1,1.8,59.4,3.1,0.6
2015,192.1,35,11.9,135.6,48.1,42,36.4,3.1,1.6,0,27.7,2.6,39.2,15.8,1.5,1.4,0.1,2.4,9,3.2,1.9,0.1,3.5,51.1,16.1,5.9,2.5,1.1,0.3,119.1,12,9.9,6.6,2.2,1,2,1.7,0.8,1.6,46,2.3,0.6
2016,174.3,37,11.6,152.3,46.6,43.5,31.9,3.9,2.5,0,27,2,40.9,16.4,1.4,1.5,0.1,2.3,10,3.2,1.9,0.1,2.2,46.6,17.4,5.9,2.4,1.3,0.6,121.3,14,10.8,6.7,2.5,1.1,2.2,1.6,1.3,2.1,45.6,3.2,0.4
2017,187,33.2,12.7,155,40.4,38.5,29.2,4.9,2.8,0,10.8,2,41.7,15.5,1.3,1.9,0.1,2.4,10.3,2.5,2.2,0,2.4,42,18.9,5.9,2.6,1.5,0.5,116.4,16.9,10,4.9,2.5,1,1.8,1.4,0.1,1.9,36,2.1,0.4
2018,194.5,29.8,11.8,146.5,40,38.3,30.9,5.1,2.3,0,0,2.5,40.9,15,2.9,2.1,0.1,2,7,1.7,1.6,0,2.4,43.1,19.8,5.9,2,1.5,0.6,110.6,21.2,10.3,4.7,2.5,1,1.7,1.2,0.1,2.3,40.3,3,0.3
2019,187.8,31.4,13.5,135.1,38.2,37.1,32.9,4.5,2.2,0.9,0,3,40.4,14.4,3.1,2.1,1.1,2.7,8,1.6,2,0,2.5,44.7,17,6.1,2.4,1.4,0.6,111.5,20.4,7.6,3.2,2.6,1,1.6,1.1,0.1,2.2,42.6,4.7,0.1
2020,180.2,31.7,9.4,101.6,47.4,29.9,24,4.1,2.2,1.6,0,3,39.4,13.4,3.1,2.5,1.6,3.1,9.1,2.3,1.3,0,2.5,42.1,17.4,6.3,2.6,1.5,0.6,109.5,21.6,8.8,4,2.7,0.8,1.7,0.9,0.1,2.4,43,3.8,0.1
2021,196,32.6,9.1,115.5,41.2,41.5,27.9,3.4,2.3,2.5,0,4.1,42,13.9,3.1,2.7,1.5,2.7,8,2.2,1.3,0.6,2.6,39,15,6.8,2.5,1.5,0.6,112.9,22.2,10.2,5.5,2.7,1,1.8,1,0.1,2.1,42.8,2.9,0.1
2022,199.2,32.4,8.7,107,41.9,38.7,30.9,2.9,2.4,2.8,0,4.2,42.4,14.8,2.5,2.3,1.5,2.3,8,2.2,1.7,1.7,2.8,41.1,14.8,7,2.5,1.5,0.7,111.8,22.3,11.4,4.7,2.8,1.8,1.6,0.8,0.1,2.4,38.5,2.7,0.1
