Year,mod_eff
1975,6.32
1976,6.7
1977,7.050000000000001
1978,7.4
1979,8.2
1980,9.0
1981,9.225
1982,9.45
1983,9.675
1984,9.9
1985,10.166666666666668
1986,10.433333333333334
1987,10.7
1988,10.966666666666667
1989,11.233333333333334
1990,11.5
1991,11.7
1992,11.9
1993,12.1
1994,12.3
1995,12.5
1996,12.7
1997,12.879999999999999
1998,13.059999999999999
1999,13.24
2000,13.42
2001,13.6
2002,13.722222222222221
2003,13.844444444444443
2004,13.966666666666667
2005,14.088888888888889
2006,14.21111111111111
2007,14.333333333333332
2008,14.455555555555556
2009,14.577777777777778
2010,14.7
2011,15.1
2012,15.4
2013,16.0
2014,16.3
2015,17.0
2016,17.5
2017,17.7
2018,18.4
2019,19.2
2020,20.25258848770678
2021,20.894864796441823
2022,21.362882315228813
2023,21.733112046239402
2024,22.040369699406632
2025,22.303538890373513
2026,22.53404502300197
2027,22.739342440707492
2028,22.924571605714046
2029,23.093431236645383
2030,23.248673835364794
2031,23.392404591318172
2032,23.526270571161408
2033,23.651585302713197
2034,23.769413584078954
2035,23.880630870212844
2036,23.98596588191118
2037,24.086031831868212
2038,24.181349738931978
2039,24.272366124819616
2040,24.35946664609023
2041,24.442986734767103
2042,24.523220003779112
2043,24.60042495908314
2044,24.67483041280779
2045,24.746639888467417
2046,24.816035235842623
2047,24.8831796201419
2048,24.948220011340844
2049,25.011289270957963
2050,25.07250791210722
