year,E_Glassforming_kWhpkg,Prct_Fuel
1995,0.485,0.0
1996,0.485,0.0
1997,0.485,0.0
1998,0.47375,0.0
1999,0.4625,0.0
2000,0.45125,0.0
2001,0.44,0.0
2002,0.41755555555555557,0.0
2003,0.3951111111111111,0.0
2004,0.37266666666666665,0.0
2005,0.3502222222222222,0.0
2006,0.3277777777777778,0.0
2007,0.30533333333333335,0.0
2008,0.28288888888888886,0.0
2009,0.2604444444444444,0.0
2010,0.238,0.0
2011,0.21555555555555553,0.0
2012,0.19311111111111107,0.0
2013,0.17066666666666663,0.0
2014,0.1482222222222222,0.0
2015,0.1257777777777777,0.0
2016,0.10333333333333328,0.0
2017,0.08088888888888884,0.0
2018,0.05844444444444441,0.0
2019,0.036,0.0
2020,0.036,0.0
2021,0.036,0.0
2022,0.036,0.0
2023,0.036,0.0
2024,0.036,0.0
2025,0.036,0.0
2026,0.036,0.0
2027,0.036,0.0
2028,0.036,0.0
2029,0.036,0.0
2030,0.036,0.0
2031,0.036,0.0
2032,0.036,0.0
2033,0.036,0.0
2034,0.036,0.0
2035,0.036,0.0
2036,0.036,0.0
2037,0.036,0.0
2038,0.036,0.0
2039,0.036,0.0
2040,0.036,0.0
2041,0.036,0.0
2042,0.036,0.0
2043,0.036,0.0
2044,0.036,0.0
2045,0.036,0.0
2046,0.036,0.0
2047,0.036,0.0
2048,0.036,0.0
2049,0.036,0.0
2050,0.036,0.0
