Year,monoSi,mcSi
1980,1.0,0.0
1981,0.9707692307692307,0.02923076923076923
1982,0.9415384615384615,0.05846153846153846
1983,0.9123076923076923,0.0876923076923077
1984,0.8830769230769231,0.11692307692307692
1985,0.8538461538461538,0.14615384615384616
1986,0.8246153846153846,0.1753846153846154
1987,0.7953846153846154,0.20461538461538462
1988,0.7661538461538462,0.23384615384615384
1989,0.7369230769230769,0.2630769230769231
1990,0.7076923076923076,0.2923076923076923
1991,0.6784615384615384,0.32153846153846155
1992,0.6492307692307693,0.3507692307692308
1993,0.62,0.38
1994,0.5943333333333334,0.4056666666666667
1995,0.5686666666666667,0.43133333333333335
1996,0.543,0.457
1997,0.5173333333333333,0.4826666666666667
1998,0.4916666666666667,0.5083333333333333
1999,0.466,0.534
2000,0.389,0.611
2001,0.425,0.575
2002,0.24444444444444446,0.7555555555555556
2003,0.0816326530612245,0.9183673469387755
2004,0.08,0.92
2005,0.309,0.6910000000000001
2006,0.27,0.73
2007,0.35353535353535354,0.6464646464646465
2008,0.4545454545454546,0.5454545454545455
2009,0.5,0.5
2010,0.5252525252525253,0.47474747474747475
2011,0.45,0.55
2012,0.445,0.5549999999999999
2013,0.365,0.635
2014,0.34170854271356776,0.6582914572864321
2015,0.3587666666666667,0.6412333333333333
2016,0.39386666666666664,0.6061333333333333
2017,0.5262491250291657,0.47375087497083423
2018,0.622912569581014,0.37708743041898607
2019,0.6536500000000001,0.34635
2020,0.9263000000000001,0.07370000000000002
2021,0.8831500000000001,0.11685000000000004
2022,0.84,0.16
2023,0.86,0.14
2024,0.88,0.12
2025,0.8933333333333333,0.10666666666666666
2026,0.9066666666666667,0.09333333333333334
2027,0.92,0.08
2028,0.9266666666666666,0.07333333333333333
2029,0.9333333333333333,0.06666666666666667
2030,0.94,0.06
