year,e_mat_extraction,e_mat_refinement,e_mat_MFG,e_mat_MFGScrap_Landfill,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_MFGScrap_HQ4MFG,e_mat_EoL_Remanufacture,e_mat_RecycleScrap_Landfilled,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_RecycledHQ_4MFG
year,kWh_perkg,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh,kWh
1995,,,,,,,,,,,,
1996,,,,,,,,,,,,
1997,,,,,,,,,,,,
1998,,,,,,,,,,,,
1999,,,,,,,,,,,,
2000,,,,,,,,,,,,
2001,,,,,,,,,,,,
2002,,,,,,,,,,,,
2003,,,,,,,,,,,,
2004,,,,,,,,,,,,
2005,,,,,,,,,,,,
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,,,,,,,,,,,,
2010,,,,,,,,,,,,
2011,,,,,,,,,,,,
2012,,,,,,,,,,,,
2013,,,,,,,,,,,,
2014,,,,,,,,,,,,
2015,,,,,,,,,,,,
2016,,,,,,,,,,,,
2017,,,,,,,,,,,,
2018,,,,,,,,,,,,
2019,,,,,,,,,,,,
2020,,,,,,,,,,,,
2021,,,,,,,,,,,,
2022,,,,,,,,,,,,
2023,,,,,,,,,,,,
2024,,,,,,,,,,,,
2025,,,,,,,,,,,,
2026,,,,,,,,,,,,
2027,,,,,,,,,,,,
2028,,,,,,,,,,,,
2029,,,,,,,,,,,,
2030,,,,,,,,,,,,
2031,,,,,,,,,,,,
2032,,,,,,,,,,,,
2033,,,,,,,,,,,,
2034,,,,,,,,,,,,
2035,,,,,,,,,,,,
2036,,,,,,,,,,,,
2037,,,,,,,,,,,,
2038,,,,,,,,,,,,
2039,,,,,,,,,,,,
2040,,,,,,,,,,,,
2041,,,,,,,,,,,,
2042,,,,,,,,,,,,
2043,,,,,,,,,,,,
2044,,,,,,,,,,,,
2045,,,,,,,,,,,,
2046,,,,,,,,,,,,
2047,,,,,,,,,,,,
2048,,,,,,,,,,,,
2049,,,,,,,,,,,,
2050,,,,,,,,,,,,
