year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg
1995,0.02,,,,,,,,,
1996,0.02,,,,,,,,,
1997,0.02,,,,,,,,,
1998,0.02,,,,,,,,,
1999,0.02,,,,,,,,,
2000,0.02,,,,,,,,,
2001,0.02,,,,,,,,,
2002,0.02,,,,,,,,,
2003,0.02,,,,,,,,,
2004,0.02,,,,,,,,,
2005,0.02,,,,,,,,,
2006,0.02,,,,,,,,,
2007,0.02,,,,,,,,,
2008,0.02,,,,,,,,,
2009,0.02,,,,,,,,,
2010,0.02,,,,,,,,,
2011,0.02,,,,,,,,,
2012,0.02,,,,,,,,,
2013,0.02,,,,,,,,,
2014,0.02,,,,,,,,,
2015,0.02,,,,,,,,,
2016,0.02,,,,,,,,,
2017,0.02,,,,,,,,,
2018,0.02,,,,,,,,,
2019,0.02,,,,,,,,,
2020,0.02,,,,,,,,,
2021,0.02,,,,,,,,,
2022,0.02,,,,,,,,,
2023,0.02,,,,,,,,,
2024,0.02,,,,,,,,,
2025,0.02,,,,,,,,,
2026,0.02,,,,,,,,,
2027,0.02,,,,,,,,,
2028,0.02,,,,,,,,,
2029,0.02,,,,,,,,,
2030,0.02,,,,,,,,,
2031,0.02,,,,,,,,,
2032,0.02,,,,,,,,,
2033,0.02,,,,,,,,,
2034,0.02,,,,,,,,,
2035,0.02,,,,,,,,,
2036,0.02,,,,,,,,,
2037,0.02,,,,,,,,,
2038,0.02,,,,,,,,,
2039,0.02,,,,,,,,,
2040,0.02,,,,,,,,,
2041,0.02,,,,,,,,,
2042,0.02,,,,,,,,,
2043,0.02,,,,,,,,,
2044,0.02,,,,,,,,,
2045,0.02,,,,,,,,,
2046,0.02,,,,,,,,,
2047,0.02,,,,,,,,,
2048,0.02,,,,,,,,,
2049,0.02,,,,,,,,,
2050,0.02,,,,,,,,,
