year,e_mod_MFG,e_mod_Install,e_mod_OandM,e_mod_Repair,e_mod_Demount,e_mod_Demount_fuelfraction,e_mod_Resell_Certify,e_mod_Store,e_mod_ReMFG_Disassembly,e_mod_Recycle_Crush
year,kWh/m2,kWh/m2,kWh/m2,kWh/m2,kWh/m2,%,kWh/m2,kWh/m2,kWh/m2,kWh/m2
2023,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2024,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2025,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2026,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2027,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2028,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2029,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2030,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2031,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2032,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2033,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2034,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2035,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2036,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2037,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2038,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2039,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2040,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2041,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2042,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2043,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2044,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2045,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2046,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2047,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2048,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2049,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2050,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
